"_","Id","Name","Donor_Name__c","Amount__c","Description__c","Fiscal_Year__c","Income_Budget__c","Income_Date__c","Income_Type__c","Payment_Type__c","Recurring_Donation__c"
"[Income_Transaction__c]","a03E100000UdFXaIAN","IN-000023","001E100000ZZ8BaIAL","500","","23/24_FY","","2023-07-02","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdFz3IAF","IN-000022","001E100000ZZOzNIAX","2000","","23/24_FY","","2023-12-06","Recurring Donation","Zelle","a04E1000004FDnRIAW"
"[Income_Transaction__c]","a03E100000UdGnaIAF","IN-000024","001E100000ZZ8BaIAL","1000","","23/24_FY","","2023-09-12","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdHkaIAF","IN-000025","001E100000ZZ8BaIAL","500","","23/24_FY","","2023-12-06","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdIoxIAF","IN-000020","001E100000ZZ36xIAD","50","","23/24_FY","","2023-09-05","Recurring Donation","Paypal","a04E1000004FDlpIAG"
"[Income_Transaction__c]","a03E100000UdJvZIAV","IN-000026","001E100000ZZ8BaIAL","600","","23/24_FY","","2022-03-09","Recurring Donation","Cash","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdRNvIAN","IN-000028","001E100000ZZ8BaIAL","136.92","","23/24_FY","","2023-04-11","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UddeYIAR","IN-000027","001E100000ZZ8BaIAL","650","","23/24_FY","","2023-03-13","Recurring Donation","Paypal","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UddwIIAR","IN-000021","001E100000ZZ36xIAD","250","","23/24_FY","","2023-09-14","Recurring Donation","Cash","a04E1000004FDlpIAG"
"[Income_Transaction__c]","a03E100000UmM8EIAV","IN-000032","","500","","23/24_FY","","2023-07-11","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnTUIIA3","IN-000029","","100","","23/24_FY","","2024-09-15","Recurring Donation","Check","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UnVElIAN","IN-000030","","100.5","","23/24_FY","","2023-07-07","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000Unp3MIAR","IN-000045","","200","","23/24_FY","","2023-08-11","Recurring Donation","Zelle","a04E1000004HDWPIA4"
"[Income_Transaction__c]","a03E100000Unp3NIAR","IN-000046","","400","","23/24_FY","","2023-08-12","Recurring Donation","Zelle","a04E1000004HDWPIA4"
